,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Date,cummulative_cases,cummulative_deaths,prev_date_cases,prev_date_deaths,new_cases_less_than_prev,new_deaths_less_than_prev,total_cases,total_deaths,times_reduced_last_7_days
93,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386,2019-12-31,0,0,0.0,0.0,1,1,555,18,4
92,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-01,0,0,0.0,0.0,1,1,555,18,4
91,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-02,0,0,0.0,0.0,1,1,555,18,4
90,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-03,0,0,0.0,0.0,1,1,555,18,4
89,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-04,0,0,0.0,0.0,1,1,555,18,4
88,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-05,0,0,0.0,0.0,1,1,555,18,4
87,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-06,0,0,0.0,0.0,1,1,555,18,4
86,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-07,0,0,0.0,0.0,1,1,555,18,4
85,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-08,0,0,0.0,0.0,1,1,555,18,4
84,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-09,0,0,0.0,0.0,1,1,555,18,4
83,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-10,0,0,0.0,0.0,1,1,555,18,4
82,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-11,0,0,0.0,0.0,1,1,555,18,4
81,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-12,0,0,0.0,0.0,1,1,555,18,4
80,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-13,0,0,0.0,0.0,1,1,555,18,4
79,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-14,0,0,0.0,0.0,1,1,555,18,4
78,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-15,0,0,0.0,0.0,1,1,555,18,4
77,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-16,0,0,0.0,0.0,1,1,555,18,4
76,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-17,0,0,0.0,0.0,1,1,555,18,4
75,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-18,0,0,0.0,0.0,1,1,555,18,4
74,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-19,0,0,0.0,0.0,1,1,555,18,4
73,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-20,0,0,0.0,0.0,1,1,555,18,4
72,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-21,0,0,0.0,0.0,1,1,555,18,4
71,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-22,0,0,0.0,0.0,1,1,555,18,4
70,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-23,0,0,0.0,0.0,1,1,555,18,4
69,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-24,0,0,0.0,0.0,1,1,555,18,4
68,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-25,0,0,0.0,0.0,1,1,555,18,4
67,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-26,0,0,0.0,0.0,1,1,555,18,4
66,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-27,0,0,0.0,0.0,1,1,555,18,4
65,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-28,0,0,0.0,0.0,1,1,555,18,4
64,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-29,0,0,0.0,0.0,1,1,555,18,4
63,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-30,0,0,0.0,0.0,1,1,555,18,4
62,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020-01-31,0,0,0.0,0.0,1,1,555,18,4
61,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-01,0,0,0.0,0.0,1,1,555,18,4
60,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-02,0,0,0.0,0.0,1,1,555,18,4
59,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-03,0,0,0.0,0.0,1,1,555,18,4
58,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-04,0,0,0.0,0.0,1,1,555,18,4
57,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-05,0,0,0.0,0.0,1,1,555,18,4
56,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-06,0,0,0.0,0.0,1,1,555,18,4
55,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-07,0,0,0.0,0.0,1,1,555,18,4
54,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-08,0,0,0.0,0.0,1,1,555,18,4
53,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-09,0,0,0.0,0.0,1,1,555,18,4
52,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-10,0,0,0.0,0.0,1,1,555,18,4
51,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-11,0,0,0.0,0.0,1,1,555,18,4
50,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-12,0,0,0.0,0.0,1,1,555,18,4
49,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-13,0,0,0.0,0.0,1,1,555,18,4
48,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-14,0,0,0.0,0.0,1,1,555,18,4
47,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-15,0,0,0.0,0.0,1,1,555,18,4
46,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-16,0,0,0.0,0.0,1,1,555,18,4
45,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-17,0,0,0.0,0.0,1,1,555,18,4
44,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-18,0,0,0.0,0.0,1,1,555,18,4
43,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-19,0,0,0.0,0.0,1,1,555,18,4
